Train samples: 288
Val samples:   48
Test samples:  45
[Intermediate CrossAttention] Total params: 30,798,851 (~30.80M) | Trainable: 30,798,851 (~30.80M)
Initial fusion info: {'gamma': 0.0, 'attn_dim': 128.0, 'attn_heads': 4.0}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 078/300 | train loss 0.0661 | val loss 0.0733 | val metric 0.8935 | lr 2.09715e-05 | time 385.9s | best 0.9014 at epoch 071
Epoch 079/300 | train loss 0.0700 | val loss 0.0752 | val metric 0.8829 | lr 2.09715e-05 | time 386.3s | best 0.9014 at epoch 071
Epoch 080/300 | train loss 0.0674 | val loss 0.0812 | val metric 0.8687 | lr 1.67772e-05 | time 385.8s | best 0.9014 at epoch 071
Epoch 081/300 | train loss 0.0678 | val loss 0.0739 | val metric 0.8878 | lr 1.67772e-05 | time 385.6s | best 0.9014 at epoch 071
Epoch 082/300 | train loss 0.0650 | val loss 0.0732 | val metric 0.8830 | lr 1.67772e-05 | time 386.1s | best 0.9014 at epoch 071
Epoch 083/300 | train loss 0.0688 | val loss 0.0802 | val metric 0.8823 | lr 1.67772e-05 | time 386.1s | best 0.9014 at epoch 071
Epoch 084/300 | train loss 0.0666 | val loss 0.0748 | val metric 0.8880 | lr 1.67772e-05 | time 385.6s | best 0.9014 at epoch 071
Epoch 085/300 | train loss 0.0605 | val loss 0.0748 | val metric 0.8910 | lr 1.67772e-05 | time 385.5s | best 0.9014 at epoch 071
Epoch 086/300 | train loss 0.0631 | val loss 0.0777 | val metric 0.8905 | lr 1.67772e-05 | time 385.4s | best 0.9014 at epoch 071
Epoch 087/300 | train loss 0.0634 | val loss 0.0771 | val metric 0.8782 | lr 1.67772e-05 | time 385.7s | best 0.9014 at epoch 071
Epoch 088/300 | train loss 0.0617 | val loss 0.0759 | val metric 0.8750 | lr 1.67772e-05 | time 385.6s | best 0.9014 at epoch 071
Epoch 089/300 | train loss 0.0626 | val loss 0.0738 | val metric 0.8980 | lr 1.67772e-05 | time 386.4s | best 0.9014 at epoch 071
Epoch 090/300 | train loss 0.0608 | val loss 0.0794 | val metric 0.8636 | lr 1.34218e-05 | time 385.2s | best 0.9014 at epoch 071
