Train samples: 288
Val samples:   48
Test samples:  45
[EarlyFusion2 LinearMix nnUNet] Total params: 31,190,957 (~31.19M) | Trainable: 31,190,957 (~31.19M)
Initial fusion weights: {'wet_weight': 0.5, 'dry_weight': 0.5, 'bias': 0.0}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/EarlyFusion2/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 095/300 | train loss 0.0477 | val loss 0.0683 | val metric 0.9054 | lr 1.34218e-05 | time 478.9s | best 0.9166 at epoch 089
Epoch 096/300 | train loss 0.0445 | val loss 0.0687 | val metric 0.9073 | lr 1.34218e-05 | time 478.7s | best 0.9166 at epoch 089
Epoch 097/300 | train loss 0.0525 | val loss 0.0683 | val metric 0.9087 | lr 1.34218e-05 | time 480.6s | best 0.9166 at epoch 089
Epoch 098/300 | train loss 0.0488 | val loss 0.0686 | val metric 0.9072 | lr 1.34218e-05 | time 480.8s | best 0.9166 at epoch 089
Epoch 099/300 | train loss 0.0532 | val loss 0.0682 | val metric 0.9080 | lr 1.34218e-05 | time 480.5s | best 0.9166 at epoch 089
Epoch 100/300 | train loss 0.0464 | val loss 0.0690 | val metric 0.9082 | lr 1.07374e-05 | time 482.3s | best 0.9166 at epoch 089
Epoch 101/300 | train loss 0.0451 | val loss 0.0664 | val metric 0.9171 | lr 1.07374e-05 | time 483.1s | best 0.9171 at epoch 101
Epoch 102/300 | train loss 0.0484 | val loss 0.0657 | val metric 0.9141 | lr 1.07374e-05 | time 479.4s | best 0.9171 at epoch 101
Epoch 103/300 | train loss 0.0459 | val loss 0.0683 | val metric 0.9081 | lr 1.07374e-05 | time 480.4s | best 0.9171 at epoch 101
Epoch 104/300 | train loss 0.0426 | val loss 0.0674 | val metric 0.9124 | lr 1.07374e-05 | time 480.8s | best 0.9171 at epoch 101
Epoch 105/300 | train loss 0.0436 | val loss 0.0679 | val metric 0.9093 | lr 1.07374e-05 | time 478.9s | best 0.9171 at epoch 101
Epoch 106/300 | train loss 0.0419 | val loss 0.0675 | val metric 0.9114 | lr 1.07374e-05 | time 479.4s | best 0.9171 at epoch 101
Epoch 107/300 | train loss 0.0457 | val loss 0.0677 | val metric 0.9101 | lr 1.07374e-05 | time 481.1s | best 0.9171 at epoch 101
Epoch 108/300 | train loss 0.0474 | val loss 0.0693 | val metric 0.9107 | lr 1.07374e-05 | time 480.8s | best 0.9171 at epoch 101
Epoch 109/300 | train loss 0.0445 | val loss 0.0694 | val metric 0.9048 | lr 1.07374e-05 | time 479.5s | best 0.9171 at epoch 101
